Timestamp,stock_volume,Price,amount_volume
2020/10/15,6265798,44353038.57,5819706584
2020/10/14,3267859,22796468.55,5662640639
2020/10/13,1844460,12754077.98,5745306926
2020/10/12,4071930,28129606.84,5753573554
2020/10/9,5644925,38637415.44,5670907268
2020/9/30,4019408,26697468.5,5406375150
2020/9/29,1983128,12871436.22,5373308636
2020/9/28,2424402,15799434.25,5373308636
2020/9/25,1796214,11903362.78,5505574694
2020/9/24,2814554,18486127.72,5505574694
2020/9/23,1202240,8043725.6,5538641209
2020/9/22,2087873,14050106.15,5513841323
2020/9/21,3668917,24991660.42,5654374010
2020/9/18,2395251,15826750.67,5505574694
2020/9/17,2416306,15817214.29,5389841893
2020/9/16,1888259,12530702.93,5464241551
2020/9/15,2239130,14744540.35,5464241551
2020/9/14,2428689,16175219.52,5464241551
2020/9/11,2538258,16516772.87,5489041437
2020/9/10,4942015,32455164.08,5340242121
2020/9/9,5129533,34886794.83,5538641209
2020/9/8,3997447,27548908.94,5737040297
2020/9/7,6020759,42323027.03,5687440525
2020/9/4,3317079,23536794.79,5869306356
2020/9/3,6689306,47664686.27,5910639499
2020/9/2,5611274,40268720.23,5918906128
2020/9/1,5277940,37678263.21,5910639499
2020/8/31,7402660,53870112.27,5951972642
2020/8/28,5915599,41633153.26,5861039727
2020/8/27,3887591,27634541.99,5885839613
2020/8/26,4901753,35152696.7,5869306356
2020/8/25,5118597,37180095.31,5968505900
2020/8/24,6721889,48873223.41,6051172186
2020/8/21,10201146,76968934.56,6166904988
2020/8/20,10982684,81056286.61,6018105672
2020/8/19,13500857,105028169.3,6381837333
2020/8/18,6683259,50144754.48,6241304646
2020/8/17,7347005,55055874.71,6224771389
2020/8/14,11486380,86789901.97,6241304646
2020/8/13,24480222,191186986.1,6447970363
2020/8/12,18208944,134059837.6,6059438815
2020/8/11,23972572,181663591.9,6348770819
2020/8/10,2612417,18119277.59,5770106812
2020/8/7,2784572,19047704.34,5662640639
2020/8/6,3216622,22385839.79,5737040297
2020/8/5,4572562,31950292.22,5844506470
2020/8/4,2725221,19335363.11,5827973212
2020/8/3,3244653,23068541.36,5927172756
2020/7/31,2543463,17862465.28,5786640069
2020/7/30,2926345,20768859.03,5827973212
2020/7/29,4496775,31481688.29,5910639499
2020/7/28,2206660,15051659.72,5613040867
2020/7/27,2660610,18158443.24,5613040867
2020/7/24,6304486,44576516.62,5703973782
2020/7/23,3229656,23407574.48,6026372300
2020/7/22,3348599,24954691.08,6133838473
2020/7/21,2947405,21658352.06,6092505330
2020/7/20,3441322,25065918.86,6092505330
2020/7/17,6043405,44378171.73,5951972642
2020/7/16,7426457,55278069.4,6084238701
2020/7/15,12043592,91496201.42,6323970933
2020/7/14,13403517,102176150.8,6257837903
2020/7/13,16544117,129991408,6497570135
2020/7/10,21451289,169800680.7,6530636649
2020/7/9,19025527,142018008.1,6390103962
2020/7/8,13349272,91355508.65,5811439955
2020/7/7,13635689,91199371.31,5555174466
2020/7/6,9556131,61356059.53,5373308636
2020/7/3,6179876,38790799.88,5166642919
2020/7/2,5130649,31353029.41,5092243261
2020/7/1,3722573,22720835.21,5059176746
2020/6/30,1703004,10461005.33,5075710003
2020/6/29,2025191,12415436.88,5059176746
2020/6/24,2448194,15198650.06,5133576404
2020/6/23,3403790,21314051.13,5166642919
2020/6/22,2783702,17245852.3,5141843033
2020/6/19,4052903,25133076.19,5133576404
2020/6/18,2679741,16602731.45,5141843033
2020/6/17,3018807,18808162.63,5133576404
2020/6/16,2447523,15386635.74,5183176176
2020/6/15,2879377,18437121.54,5216242691
2020/6/12,5464848,34657946.89,5307175606
2020/6/11,3061639,19890526.24,5315442235
2020/6/10,4303874,28578410.18,5480774808
2020/6/9,2825029,18157328.17,5348508749
2020/6/8,1497950,13799973.13,5402832315
2020/6/5,2191037,20414076.56,5467784397
2020/6/4,1408300,13356391.13,5609498032
2020/6/3,2850978,27123122.42,5603593297
2020/6/2,2288361,21653541.65,5585879092
2020/6/1,3162191,29492638.78,5554286025
